067-080-170,087043,4600.32,529.49,150.0
067-080-190,087043,6236.33,717.8,150.0
067-080-200,087043,30.3,3.48,150.0
067-080-220,087043,6618.8,761.82,150.0
067-080-230,087043,15387.51,1771.1,150.0
067-091-010,087043,10.58,1.21,150.0
067-091-040,087043,159.18,18.32,150.0
067-091-050,087043,0,0,0
067-091-060,087043,0,0,0
067-092-090,087043,0,0,0
067-093-050,087043,2.28,0.26,150.0
067-093-090,087043,0,0,0
067-094-030,087043,2.28,0.26,150.0
067-094-040,087043,0,0,0
067-094-050,087043,2.28,0.26,150.0
067-094-060,087043,7.46,0.85,150.0
067-094-070,087043,15.97,1.83,150.0
067-094-080,087043,0,0,0
067-094-090,087043,0,0,0
067-094-100,087043,0,0,0
067-094-110,087043,0,0,0
067-095-010,087043,0,0,0
067-095-020,087043,198.56,22.85,150.0
067-095-060,087043,40.92,4.7,150.0
067-095-070,087043,0,0,0
067-096-010,087043,0,0,0
067-096-030,087043,132.65,15.26,150.0
067-096-040,087043,0,0,0
067-096-050,087043,2.28,0.26,150.0
067-096-060,087043,0,0,0
067-096-070,087043,0,0,0
067-096-080,087043,0,0,0
067-096-090,087043,0,0,0
067-096-100,087043,137.34,15.8,150.0
067-096-130,087043,2.28,0.26,150.0
067-096-140,087043,8.03,0.92,150.0
067-096-150,087043,0,0,0
067-096-170,087043,0,0,0
067-097-080,087043,12.92,1.48,150.0
067-097-140,087043,0,0,0
067-098-020,087043,4.66,0.53,150.0
067-098-030,087043,0,0,0
067-098-040,087043,226.09,26.02,150.0
067-098-050,087043,0,0,0
067-098-080,087043,55.48,6.38,150.0
067-098-090,087043,0,0,0
067-098-100,087043,0,0,0
067-098-130,087043,0,0,0
067-098-140,087043,0,0,0
067-101-010,087043,0,0,0
067-101-020,087043,35.65,4.1,150.0
067-101-030,087043,0,0,0
067-101-040,087043,4.66,0.53,150.0
067-101-050,087043,0,0,0
067-101-120,087043,2.8,0.32,150.0
067-101-130,087043,0,0,0
067-101-140,087043,2.28,0.26,150.0
067-101-150,087043,2.28,0.26,150.0
067-101-160,087043,0,0,0
067-101-170,087043,0,0,0
067-101-180,087043,2.46,0.28,150.0
067-101-200,087043,0,0,0
067-102-010,087043,0,0,0
067-102-020,087043,0,0,0
